Latitude,Longitude,DateTime
35.750730,139.873887,2021-09-04T07:20:17
35.750724,139.873875,2021-09-04T07:20:17
35.750722,139.873875,2021-09-04T07:20:17
35.750724,139.873870,2021-09-04T07:20:17
35.750727,139.873870,2021-09-04T07:20:17
35.750722,139.873862,2021-09-04T07:20:18
35.750720,139.873862,2021-09-04T07:20:18
35.750722,139.873870,2021-09-04T07:20:18
35.750722,139.873878,2021-09-04T07:20:18
35.750717,139.873877,2021-09-04T07:20:18
35.750720,139.873872,2021-09-04T07:20:18
35.750715,139.873882,2021-09-04T07:20:18
35.750717,139.873885,2021-09-04T07:20:19
35.750714,139.873880,2021-09-04T07:20:19
35.750710,139.873872,2021-09-04T07:20:19
35.750700,139.873857,2021-09-04T07:20:19
35.750705,139.873867,2021-09-04T07:20:19
35.750699,139.873848,2021-09-04T07:20:19
35.750702,139.873878,2021-09-04T07:20:19
35.750722,139.873903,2021-09-04T07:20:20
35.750724,139.873902,2021-09-04T07:20:20
35.750724,139.873887,2021-09-04T07:20:20
35.750734,139.873890,2021-09-04T07:20:20
35.750739,139.873893,2021-09-04T07:20:20
35.750740,139.873892,2021-09-04T07:20:20
35.750742,139.873878,2021-09-04T07:20:20
35.750735,139.873875,2021-09-04T07:20:20
35.750732,139.873860,2021-09-04T07:20:21
35.750707,139.873830,2021-09-04T07:20:21
35.750707,139.873822,2021-09-04T07:20:21
35.750709,139.873822,2021-09-04T07:20:21
35.750704,139.873815,2021-09-04T07:20:21
35.750727,139.873843,2021-09-04T07:20:21
35.750734,139.873862,2021-09-04T07:20:21
35.750734,139.873883,2021-09-04T07:20:22
35.750735,139.873880,2021-09-04T07:20:22
35.750737,139.873875,2021-09-04T07:20:22
35.750739,139.873877,2021-09-04T07:20:22
35.750740,139.873885,2021-09-04T07:20:22
35.750744,139.873895,2021-09-04T07:20:22
35.750737,139.873885,2021-09-04T07:20:22
35.750739,139.873888,2021-09-04T07:20:23
35.750729,139.873857,2021-09-04T07:20:23
35.750720,139.873843,2021-09-04T07:20:23
35.750715,139.873830,2021-09-04T07:20:23
35.750715,139.873833,2021-09-04T07:20:23
35.750719,139.873833,2021-09-04T07:20:23
35.750747,139.873887,2021-09-04T07:20:23
35.750749,139.873880,2021-09-04T07:20:24
35.750752,139.873887,2021-09-04T07:20:24
35.750752,139.873890,2021-09-04T07:20:24
35.750755,139.873888,2021-09-04T07:20:24
35.750752,139.873877,2021-09-04T07:20:24
35.750754,139.873883,2021-09-04T07:20:24
35.750742,139.873862,2021-09-04T07:20:24
35.750742,139.873860,2021-09-04T07:20:25
35.750744,139.873847,2021-09-04T07:20:25
35.750730,139.873845,2021-09-04T07:20:25
35.750730,139.873842,2021-09-04T07:20:25
35.750732,139.873840,2021-09-04T07:20:25
35.750729,139.873840,2021-09-04T07:20:25
35.750739,139.873865,2021-09-04T07:20:25
35.750749,139.873897,2021-09-04T07:20:26
35.750750,139.873890,2021-09-04T07:20:26
35.750754,139.873887,2021-09-04T07:20:26
35.750759,139.873887,2021-09-04T07:20:26
35.750760,139.873882,2021-09-04T07:20:26
35.750760,139.873885,2021-09-04T07:20:26
35.750757,139.873878,2021-09-04T07:20:26
35.750755,139.873862,2021-09-04T07:20:27
35.750742,139.873845,2021-09-04T07:20:27
35.750730,139.873830,2021-09-04T07:20:27
35.750732,139.873837,2021-09-04T07:20:27
35.750732,139.873830,2021-09-04T07:20:27
35.750727,139.873825,2021-09-04T07:20:27
35.750764,139.873900,2021-09-04T07:20:27
35.750764,139.873907,2021-09-04T07:20:28
35.750762,139.873905,2021-09-04T07:20:28
35.750762,139.873903,2021-09-04T07:20:28
35.750760,139.873900,2021-09-04T07:20:28
35.750762,139.873900,2021-09-04T07:20:28
35.750760,139.873890,2021-09-04T07:20:28
35.750760,139.873883,2021-09-04T07:20:28
35.750762,139.873885,2021-09-04T07:20:28
35.750754,139.873873,2021-09-04T07:20:29
35.750755,139.873878,2021-09-04T07:20:29
35.750752,139.873877,2021-09-04T07:20:29
35.750755,139.873887,2021-09-04T07:20:29
35.750757,139.873887,2021-09-04T07:20:29
35.750764,139.873892,2021-09-04T07:20:29
35.750757,139.873892,2021-09-04T07:20:29
35.750760,139.873892,2021-09-04T07:20:30
